date,spei
1981-12-31,-0.11
1982-12-31,-0.33
1983-12-31,0.04
1984-12-31,0.61
1985-12-31,0.18
1986-12-31,0.03
1987-12-31,0.24
1988-12-31,-0.11
1989-12-31,-0.11
1990-12-31,0.13
1991-12-31,0.28
1992-12-31,0.42
1993-12-31,-0.14
1994-12-31,-0.0
1995-12-31,0.12
1996-12-31,0.1
1997-12-31,0.28
1998-12-31,-0.22
1999-12-31,-0.33
2000-12-31,-0.06
2001-12-31,-0.08
2002-12-31,-0.02
2003-12-31,-0.06
2004-12-31,-0.03
2005-12-31,0.02
2006-12-31,-0.03
2007-12-31,0.02
2008-12-31,-0.34
2009-12-31,-0.2
2010-12-31,0.27
2011-12-31,0.29
2012-12-31,-0.38
2013-12-31,-0.37
2014-12-31,-0.47
